"last_name, first_name","player_id","year","p_era","whiff_percent","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z"
"Valdez, Framber","664285","2021","3.14",26,"92.1","2183","5","-22",,,,,"77.9","2873","-13.5","-61",,,,
"Anderson, Ian","666120","2021","3.58",28.5,"94.6","2045","-5.4","-13.2",,,,,"80.7","1895","1","-48.4",,,,
"Plesac, Zach","668676","2021","4.67",23.1,"92.8","2047","-8.7","-14.7","86.7","2033","0.1","-27.5","80.2","1884","1.7","-48.7",,,,
"Gallen, Zac","668678","2021","4.30",23.3,"93.4","2324","-3.4","-14.1","86.1","2467","7.7","-37","79.7","2437","8.3","-55.1",,,,
"Burnes, Corbin","669203","2021","2.43",36.5,"96.4","2607","-5.7","-15.4","88","2861","7.6","-35.3","81.2","2867","11.3","-49.3",,,,
"Gilbert, Logan","669302","2021","4.68",27.1,"95.3","2200","-5.4","-12.1","83.4","2276","6.5","-35","75","2117","5.1","-56.7",,,,
"Skubal, Tarik","669373","2021","4.34",26.7,"94.3","2192","8.3","-14.8","86.5","2060","-1.8","-32.6","73.8","2222","-7.9","-63.9",,,,
"Rogers, Trevor","669432","2021","2.64",30.7,"94.5","2375","11.1","-16","81.8","2115","-1.7","-37.5",,,,,,,,
"Garcia, Luis","677651","2021","3.48",30.5,"93.3","2354","-5","-13","79.9","2374","15.8","-45.8","75.9","2264","5.9","-59.2",,,,
"Wainwright, Adam","425794","2022","3.71",16.9,"88","2233","-1.4","-20.2","75.3","2682","18.6","-54.2","72.8","2768","16.1","-67.5",,,,
"Greinke, Zack","425844","2022","3.68",17.3,"89.2","2286","-2.1","-18.4","81.8","2448","8.4","-34.7","72","2433","12.5","-64.4",,,,
"Verlander, Justin","434378","2022","1.75",24.2,"95","2423","-9.5","-11.4","87.4","2464","4","-31","79","2644","6.9","-55.3",,,,
"Kluber, Corey","446372","2022","4.34",23.9,"88.9","2271","-6.3","-20.2",,,,,"80.7","2526","16.5","-41",,,,
"Hill, Rich","448179","2022","4.27",22,"88.5","2252","8.2","-16.4",,,,,"71.8","2629","-17.8","-67.7","69.2","2531","-22.7","-56.5"
"Morton, Charlie","450203","2022","4.34",29.2,"94.9","2373","-10.6","-17.9",,,,,"81.3","3068","15.5","-51.1",,,,
"Scherzer, Max","453286","2022","2.29",30.6,"94","2387","-11.1","-15","85","2303","3.2","-34.7","75","2764","16.6","-58.4",,,,
"Cueto, Johnny","456501","2022","3.35",17.6,"91.4","2188","-12.2","-17.8","83.5","2235","2.7","-33.7","69.9","2095","3.5","-57",,,,
"Lynn, Lance","458681","2022","3.99",28.5,"92.9","2443","-3.7","-18.3","86","2548","5.1","-35.5","82","2497","10.5","-42.2",,,,
"Carrasco, Carlos","471911","2022","3.97",27.6,"93.2","2282","-7.6","-17.5","84.8","2456","2.3","-35.7","81.1","2654","7.6","-46.7",,,,
"Quintana, Jose","500779","2022","2.93",23.8,"91.2","2077","2.4","-17.7",,,,,"78.3","2263","-7.1","-52.7",,,,
"Gibson, Kyle","502043","2022","5.05",25.1,"92","2279","-6.2","-16.4","83.4","2518","4.6","-40.7","79.1","2467","7.3","-52.5","82.9","2458","7.8","-37.2"
"Cobb, Alex","502171","2022","3.73",24.8,"95.3","2214","-8.6","-14.3","85.1","2531","4","-45.1","83.8","2610","5.9","-52",,,,
"Darvish, Yu","506433","2022","3.10",25.1,"95","2416","-7.2","-13.5","86","2778","5.7","-37.1","76.1","2704","10.6","-61.1","82.7","2726","16.2","-40.3"
"Bumgarner, Madison","518516","2022","4.88",18.1,"91.2","2209","7.8","-17.7","83.3","2205","-5.8","-39.7","78.6","2304","-9.2","-47.1",,,,
"Kelly, Merrill","518876","2022","3.37",23.6,"92.6","2360","-7.9","-16.7","85","2416","1.8","-34.5","82.2","2550","9.1","-50.9",,,,
"Pérez, Martín","527048","2022","2.89",21,"92.7","2055","10.9","-17.4","84.5","2398","-3.5","-32.7","78.8","2515","-6.3","-49",,,,
"Anderson, Tyler","542881","2022","2.57",24.2,"90.7","2231","7.5","-15.3",,,,,"73.2","2141","-2","-59.2",,,,
"Cole, Gerrit","543037","2022","3.50",33.9,"97.8","2428","-10.4","-10.5","88.7","2569","5","-34.2","83","2779","10.2","-53",,,,
"Lyles, Jordan","543475","2022","4.42",21.9,"91.8","2204","-5.9","-15.5",,,,,"79.1","2433","7.6","-58.7","80","2638","16.8","-44.2"
"Stripling, Ross","548389","2022","3.01",23.5,"91.9","2124","-5.2","-13.7","87.1","2301","4.5","-29.6","76.1","2377","7.2","-59",,,,
"Wheeler, Zack","554430","2022","2.82",25.1,"95.9","2392","-9.2","-13.6",,,,,"81.3","2654","9.2","-51.7",,,,
"Corbin, Patrick","571578","2022","6.31",20.7,"92.1","2130","7.9","-17.5","81.7","2184","-2.9","-39.6","74.2","1944","-2.5","-51.4",,,,
"Mikolas, Miles","571945","2022","3.29",18.5,"93.5","2292","-4.9","-16.3","87.7","2381","3.9","-31.1","76","2547","8.7","-63.3",,,,
"Stroman, Marcus","573186","2022","3.50",22.4,"92.6","2425","-4.6","-18.1","86.4","2692","4.9","-40.5",,,,,,,,
"Gausman, Kevin","592332","2022","3.35",29.4,"95","2265","-10.5","-13.1","84.4","2206","1.2","-35.1",,,,,,,,
"Gray, Jon","592351","2022","3.96",25.9,"95.9","2015","-11.4","-17.2","85.8","2212","-2.1","-28.7","77.8","2597","14.5","-56","84.9","2471","10.2","-32.6"
"Ray, Robbie","592662","2022","3.71",30,"93.4","2282","6.7","-13.4","87.2","2190","-1.5","-28.3","79.7","2106","-2.5","-43.7",,,,
"Syndergaard, Noah","592789","2022","3.94",20.1,"94.1","2136","-5.7","-16.7","85.2","2151","5.5","-36.6","77.8","2136","10.3","-45.5",,,,
"Taillon, Jameson","592791","2022","3.91",23,"94.1","2370","-5.7","-13.2","86.1","2556","6.2","-32.5","81.1","2734","9.2","-51.9","84.1","2640","10.1","-37.8"
"Walker, Taijuan","592836","2022","3.49",23.6,"93.7","2148","-10.1","-14","84.9","2403","5.3","-32.5","75","2226","7","-60.5","83.2","2497","7","-39.2"
"Montas, Frankie","593423","2022","4.05",27.6,"96.1","2357","-6.3","-12.8","87.2","2410","6.2","-32.8",,,,,,,,
"Gonzales, Marco","594835","2022","4.13",18.3,"88.5","1986","12.2","-20.3",,,,,"76.6","2114","-6.3","-59.8",,,,
"Gomber, Austin","596295","2022","5.56",21.9,"91","2156","6.3","-15.6","84.3","2391","-5","-34.7","75.8","2497","-7","-61.6",,,,
"Pivetta, Nick","601713","2022","4.56",23.5,"93.4","2310","-5.1","-10.9","83","2476","6.9","-42","77.2","2710","7.9","-65.3",,,,
"Bassitt, Chris","605135","2022","3.42",23.6,"93.2","2191","-5.5","-17.8","82.7","2345","6.9","-38.8","71.6","2330","14.9","-68","75.2","2318","18.8","-48.5"
"Bundy, Dylan","605164","2022","4.89",21.1,"89","2352","-4.5","-15.3","79.1","2404","5.3","-44.4","72.2","2148","8.2","-63.4",,,,
"Davies, Zach","605200","2022","4.09",21.4,"89.9","2114","-13.9","-20","75.9","2498","15.6","-52.7","74.8","2580","10.9","-62","78.1","2604","18.8","-47.6"
